title,price,date
Blaser r93 223rem,525 000 руб.,"10 Сентября, в 10:18"
CZ 527 LUX,75 000 руб.,"10 Сентября, в 09:50"
Вепрь 223,60 000 руб.,"10 Сентября, в 09:45"
XR -15,200 000 руб.,"10 Сентября, в 04:30"
HECKLER & KOCH  Карабин охотничий самозарядный калибр 223 Rem,1 500 000 руб.,"10 Сентября, в 00:04"
МР-18МН,36 500 руб.,"9 Сентября, в 22:33"
Вепрь СОК 97,70 000 руб.,"9 Сентября, в 20:14"
"Орсис 120, 223 rem",150 000 руб.,"9 Сентября, в 18:36"
Карабин CZ-527 к.223 Rem (Комиссия),105 000 руб.,"9 Сентября, в 15:55"
Steyr AUG A3,420 000 руб.,"9 Сентября, в 13:42"
Карабин DANIEL DEFENSE DDM4A1 к.223Rem (Комиссия),650 000 руб.,"9 Сентября, в 12:54"
"SWC BOLD кал. 223Rem, 14.5""",279 500 руб.,"9 Сентября, в 11:18"
Вепрь пионер 223,40 000 руб.,"9 Сентября, в 11:02"
Colt Match Target HBAR AR-15,245 000 руб.,"9 Сентября, в 10:50"
Сайга-223; 223 Rem; 415 мм,57 100 руб.,"9 Сентября, в 09:10"
"Сайга ""Сварог"" - Сайга МК",140 000 руб.,"9 Сентября, в 09:05"
"Карабин Вепрь-Пионер 223Rem 5,56х45 L-550 дерево Комиссия 891702474",33 648 руб.,"9 Сентября, в 05:25"
Карабин AT-15 (AR-15 от Alfatech),350 000 руб.,"8 Сентября, в 22:28"
СОК-97M б/о (650) 223Rem Карабин Вепрь Супер,75 000 руб.,"8 Сентября, в 21:27"
CZ 527 FS 223 rem,105 000 руб.,"8 Сентября, в 21:25"
Ремингтон 700,200 000 руб.,"8 Сентября, в 21:11"
Сайга охотвариант 223,70 000 руб.,"8 Сентября, в 19:55"
Продам Вепрь СОК 97М 223 Rem,45 000 руб.,"8 Сентября, в 19:10"
CZ 527 FS в калибре 223 Rem,80 000 руб.,"8 Сентября, в 19:10"
Форт АР 15,200 000 руб.,"8 Сентября, в 16:20"
"Zastava m85, к. 223 rem",75 000 руб.,"8 Сентября, в 15:33"
Remington 700 BDL Custom Deluxe 223 Rem,250 000 руб.,"8 Сентября, в 14:42"
