position,title,price,date,link,location
632,"Карабин ATA ARMS Turqua Gen 2 Walnut (ореховая ложа, регулируемая щека), 308Win",125 000 руб.,"12 Сентября, в 18:38",https://gunsbroker.ru/hunting/882897_karabin-ata-arms-turqua-walnut-orehovaya-loja-reguliruemaya-shcheka-308win.html,"Кабардино-Балкарская Республика, НАЛЬЧИК"
633,Сайга-308 исп. 61; 308 Win; 415 мм,70 500 руб.,"12 Сентября, в 13:26",https://gunsbroker.ru/hunting/773584_sayga-308-isp-61-308-win-415-mm.html,"Удмуртская Республика, Ижевск"
634,Сайга-308 исп. 46; 308 Win; 350 мм,70 500 руб.,"12 Сентября, в 13:26",https://gunsbroker.ru/hunting/592656_sayga-308-isp-46-308-win-350-mm.html,"Удмуртская Республика, Ижевск"
635,Blaser R8,1 250 000 руб.,"12 Сентября, в 13:22",https://gunsbroker.ru/hunting/846643_blaser-r8.html,Москва
636,Нарезной карабин CZ 557 Eclipse 308 Win,175 000 руб.,"12 Сентября, в 12:10",https://gunsbroker.ru/hunting/873866_nareznoy-karabin-cz-557-eclipse-308-win.html,"Республика Башкортостан, Уфа"
637,Remington 700 SPS 308 Win,120 000 руб.,"12 Сентября, в 07:42",https://gunsbroker.ru/hunting/826671_remington-700-sps-308-win.html,"Ямало-Ненецкий автономный округ, Муравленко"
638,Вепрь супер 308,70 000 руб.,"12 Сентября, в 07:14",https://gunsbroker.ru/hunting/892150_vepr-super-308.html,"Омская область, Омск"
639,СОК-95 б/о (700) 308Win (пл. компл. приклад+цевье),109 900 руб.,"11 Сентября, в 21:41",https://gunsbroker.ru/hunting/792826_sok-95-bo-700-308win-pl-kompl-prikladceve.html,Москва
640,"Winchester XPR Composite 308, 3006 THR NS 530",185 000 руб.,"11 Сентября, в 21:40",https://gunsbroker.ru/hunting/806635_winchester-xpr-composite-308-3006-thr-ns-530.html,Москва
641,Tikka T3x Hunter 308win THR 508 оружейный салон ЛЮБЕРЕЦКИЙ АРСЕНАЛ,494 000 руб.,"11 Сентября, в 21:25",https://gunsbroker.ru/hunting/817141_tikka-t3x-hunter-308win-thr-508.html,Москва
642,Savage 110 308 STORM 559,240 000 руб.,"11 Сентября, в 21:25",https://gunsbroker.ru/hunting/817145_savage-110-308-storm-559.html,Москва
643,Tikka T3x Hunter fluted 308win THR 508 ЛЮБЕРЕЦКИЙ АРСЕНАЛ,524 000 руб.,"11 Сентября, в 21:22",https://gunsbroker.ru/hunting/817144_tikka-t3x-hunter-fluted-308win-thr-508.html,Москва
644,Сайга 308,180 000 руб.,"11 Сентября, в 18:56",https://gunsbroker.ru/hunting/892077_sayga-308.html,"Воронежская область, Воронеж"
